Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location,Land Type_x,Land Type_y
2019,37,102158,102158,86-88 Collins Street MELBOURNE 3000,Melbourne (CBD),Collins Quarter,86A Collins Street MELBOURNE 3000,290,144.9705843906,-37.8139367650688,"-37.81393676506883, 144.97058439059998",Commercial,Commercial
2019,43,108068,108068,111-129 Queen Street MELBOURNE 3000,Melbourne (CBD),Da Ha,"Level 15, 123 Queen Street MELBOURNE 3000",200,144.960636051482,-37.81581228795,"-37.81581228795, 144.96063605148169",Commercial,Commercial
2019,43,108068,108068,111-129 Queen Street MELBOURNE 3000,Melbourne (CBD),CitiClub On Queen Hotel,113 Queen Street MELBOURNE 3000,940,144.960636051482,-37.81581228795,"-37.81581228795, 144.96063605148169",Commercial,Commercial
2019,46,105963,105963,196-212 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Hana,212 Little Collins Street MELBOURNE 3000,50,144.96715296055,-37.8139012557612,"-37.813901255761195, 144.96715296055",Commercial,Commercial
2019,46,105964,105964,188-194 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Gin Palace,10 Little Collins Street MELBOURNE 3000,150,144.9675811687,-37.813907449367,"-37.81390744936704, 144.9675811687",Commercial,Commercial
2019,46,108536,108536,115-127 Russell Street MELBOURNE 3000,Melbourne (CBD),Portland Hotel,115-127 Russell Street MELBOURNE 3000,414,144.9681997692,-37.8136637451128,"-37.81366374511281, 144.9681997692",Commercial,Commercial
2019,46,109413,109413,146 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cabinet Bar,11 Swanston Street MELBOURNE 3000,90,144.96620165919,-37.81417663385,"-37.81417663385, 144.96620165918984",Commercial,Commercial
2019,51,108963,108963,672-696 Bourke Street MELBOURNE 3000,Melbourne (CBD),Mail Exchange Hotel,"Part Basement , 688 Bourke Street MELBOURNE 3000",600,144.953590440561,-37.8166305854,"-37.8166305854, 144.95359044056096",Commercial,Commercial
2019,53,110145,110145,170-176 William Street MELBOURNE 3000,Melbourne (CBD),Pho Melbourne,170 William Street MELBOURNE 3000,50,144.958219844331,-37.8149175538,"-37.8149175538, 144.9582198443308",Commercial,Commercial
2019,54,109954,109954,15-19 Warburton Lane MELBOURNE 3000,Melbourne (CBD),Murmur,"Level 1, 15-19 Warburton Lane MELBOURNE 3000",50,144.9618461375,-37.813812616521,"-37.81381261652099, 144.9618461375",Commercial,Commercial
2019,55,101193,101193,338-352 Bourke Street MELBOURNE 3000,Melbourne (CBD),Alto Event Space,"Part Level 3, 338-352 Bourke Street MELBOURNE 3000",400,144.96328859745,-37.8136035106566,"-37.813603510656634, 144.96328859745",Commercial,Commercial
2019,55,109284,109284,191-205 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cocoon Bar,"Mezzanine , 195 Swanston Street MELBOURNE 3000",200,144.965010835861,-37.8130993046,"-37.8130993046, 144.96501083586128",Commercial,Commercial
2019,56,101207,101207,184-186 Bourke Street MELBOURNE 3000,Melbourne (CBD),Stars KTV and Lounge,"Level 1, 184-186 Bourke Street MELBOURNE 3000",204,144.96768897975,-37.8126757008825,"-37.81267570088254, 144.96768897975",Commercial,Commercial
2019,57,101212,101212,152-158 Bourke Street MELBOURNE 3000,Melbourne (CBD),Charltons Entertainment Complex / Roxanne Bar,"Level 2, 2 Bourke Street MELBOURNE 3000",1500,144.9685177241,-37.8119583550178,"-37.81195835501776, 144.9685177241",Commercial,Commercial
2019,61,105716,105716,597-603 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Men's Gallery,597-603 Lonsdale Street MELBOURNE 3000,675,144.95449168755,-37.8149066145384,"-37.814906614538415, 144.95449168755",Commercial,Commercial
2019,63,105867,105867,428-432 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Denmark House/The Danish Club,"Suite 301, Level 3, 428 Little Bourke Street MELBOURNE 3000",100,144.9597266173,-37.8139242562432,"-37.813924256243226, 144.95972661730002",Commercial,Commercial
2019,64,105700,105700,359-363 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Whitehart,Rear 359-363 Lonsdale Street MELBOURNE 3000,200,144.96187567925,-37.8127516003689,"-37.81275160036885, 144.96187567925",Commercial,Commercial
