bioblitz-2016 (1)
Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Identification Notes,Data Resource Name,Sighting Date,Latitude,Longitude,Location,geopoint
Bird,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Dacelo,novaeguineae,Laughing Kookaburra,,Participate Melbourne,2016-03-04,-37.8122,145.2498,,"-37.8122, 145.2498"
Bird,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Dacelo,novaeguineae,Laughing Kookaburra,,Bowerbird,2016-03-07,-37.8127,144.9803,,"-37.8127, 144.9803"
Fungi,FUNGI,,,,,,,,Fungi,Bowerbird,2016-03-30,-37.8135,144.9761,,"-37.8135, 144.9761"
Bird,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,PHALACROCORACIDAE,Microcarbo,melanoleucos,Little Pied Cormorant,,Handwritten,2016-04-01,-37.819,144.974,,"-37.819, 144.974"
Bird,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,PHALACROCORACIDAE,Microcarbo,melanoleucos,Little Pied Cormorant,,Handwritten,2016-04-08,-37.817,144.934,,"-37.817, 144.934"
Bird,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,PHALACROCORACIDAE,Microcarbo,melanoleucos,Little Pied Cormorant,,Handwritten,2016-03-04,-37.831,144.91,,"-37.831, 144.91"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,mellori,Little Raven,,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,mellori,Little Raven,,Handwritten,2016-03-05,-37.817,144.934,,"-37.817, 144.934"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,mellori,Little Raven,,Handwritten,2016-03-04,-37.79,144.949,,"-37.79, 144.949"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Anthochaera,chrysoptera,Little Wattlebird,,Handwritten,2016-03-05,-37.831,144.91,,"-37.831, 144.91"
Bird,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,CACATUIDAE,Cacatua,tenuirostris,Long-billed Corella,,Participate Melbourne,2016-03-25,-37.8145,144.9658,,"-37.8145, 144.9658"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Grallina,cyanoleuca,Magpie-lark,,Bowerbird,2016-03-31,-37.8188,144.9728,,"-37.8188, 144.9728"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Grallina,cyanoleuca,Magpie-lark,,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Grallina,cyanoleuca,Magpie-lark,,Handwritten,2016-03-04,-37.798,144.961,,"-37.798, 144.961"
Fungi,FUNGI,,,,,,,,Fungi,Bowerbird,2016-03-19,-37.8112,144.98,,"-37.8112, 144.98"
Bird,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,miles,"Masked Lapwing, Plover",,Bowerbird,2016-04-08,-37.8163,144.9334,,"-37.8163, 144.9334"
Bird,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,miles,"Masked Lapwing, Plover",,Handwritten,2016-04-08,-37.817,144.934,,"-37.817, 144.934"
Bird,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,miles,"Masked Lapwing, Plover",,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Bird,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,ARDEIDAE,Nycticorax,caledonicus,Nankeen Night-heron,,Handwritten,2016-03-05,-37.829,144.98,,"-37.829, 144.98"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Phylidonyris,novaehollandiae,New Holland Honeyeater,,Participate Melbourne,2016-03-05,-37.8319,144.9087,,"-37.8319, 144.9087"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Phylidonyris,novaehollandiae,New Holland Honeyeater,,Handwritten,2016-04-08,-37.817,144.934,,"-37.817, 144.934"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Phylidonyris,novaehollandiae,New Holland Honeyeater,,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Manorina,melanocephala,Noisy Miner,,Bowerbird,2016-03-05,-37.7966,144.9591,,"-37.7966, 144.9591"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Manorina,melanocephala,Noisy Miner,,Handwritten,2016-03-04,-37.79,144.949,,"-37.79, 144.949"
Insect,ANIMALIA,ARTHROPODA,INSECTA,,,,,,Insect,Bowerbird,2016-03-04,-37.7986,144.9606,,"-37.7986, 144.9606"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Manorina,melanocephala,Noisy Miner,,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Manorina,melanocephala,Noisy Miner,,Handwritten,2016-03-05,-37.798,144.961,,"-37.798, 144.961"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,superciliosa,"Pacific Black Duck, Black Duck",,Bowerbird,2016-05-24,-37.7866,144.9185,,"-37.7866, 144.9185"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,superciliosa,"Pacific Black Duck, Black Duck",,Bowerbird,2016-02-06,-37.7824,144.9429,,"-37.7824, 144.9429"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,superciliosa,"Pacific Black Duck, Black Duck",,Bowerbird,2016-03-15,-37.7825,144.943,,"-37.7825, 144.943"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,superciliosa,"Pacific Black Duck, Black Duck",,Bowerbird,2016-03-05,-37.7826,144.9439,,"-37.7826, 144.9439"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,superciliosa,"Pacific Black Duck, Black Duck",,Bowerbird,2016-03-20,-37.8222,144.9713,,"-37.8222, 144.9713"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,superciliosa,"Pacific Black Duck, Black Duck",,Handwritten,2016-04-01,-37.819,144.974,,"-37.819, 144.974"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,superciliosa,"Pacific Black Duck, Black Duck",,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Bird,ANIMALIA,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,peregrinus,Peregrine Falcon,,Handwritten,2016-03-05,-37.79,144.949,,"-37.79, 144.949"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ARTAMIDAE,Strepera,graculina,Pied Currawong,,Handwritten,2016-03-04,-37.806,144.971,,"-37.806, 144.971"
Insect,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,,,,,Fly,Participate Melbourne,2016-03-07,-37.7824,144.9433,,"-37.7824, 144.9433"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porphyrio,porphyrio,Purple Swamphen,,Bowerbird,2016-03-08,-37.7869,144.9184,,"-37.7869, 144.9184"
